id,hora_inicio,hora_conclusao,nome,razao_social,cnpj,colaboradores_qtd,faturamento_anual,respondente,cargo,email,processos_legislacao,teve_sancao_5anos,motivo_sancao,trabalho_digno,certificacoes,certificacoes_evidencias,politica_responsabilidade,treinamentos_sustentabilidade,treinamentos_detalhes,praticas_compliance,compliance_detalhes,levantamento_aspectos_impactos,gestao_agua,gestao_agua_detalhes,eficiencia_energetica,eficiencia_energetica_detalhes,gerenciamento_residuos,gerenciamento_residuos_detalhes,pegada_carbono,pegada_carbono_detalhes,inventario_gee_auditado,combustiveis_veiculos,inclusao_diversidade,inclusao_detalhes,voluntariado,voluntariado_detalhes,saude_mental_praticas,saude_mental_detalhes,compras_sustentaveis_politica,criterio_fornecedores,criterios_fornecedores_detalhes,contratos_fornecedores_clausulas,compras_treinamento,diversidade_cadeia_fornecedores,auditorias_fornecedores,comentario_final,confirmado
1,2/3/26 9:00:00,2/3/26 9:18:00,registro_modelo_01,Empresa Exemplo 01 Ltda. - Marca Modelo 01,00000000000191,Até 9 (Microempresa),"De R$ 500 mil a R$ 1,5 milhões",Pessoa Exemplo 01,Diretora de Sustentabilidade,contato01@example.com,Sim,Não,Não se aplica,Sim,Sim,"ISO 14001, ISO 45001 e evidências em https://example.com/evidencias/empresa-modelo",Sim,Sim,"Áreas abrangidas: operação, RH e liderança. Temas: água, energia, resíduos, ética e direitos humanos. Periodicidade: onboarding e reciclagem semestral.",Sim,"Código de conduta, canal de denúncias, due diligence de terceiros, treinamentos anuais e controles anticorrupção.",Sim,Sim,"Medição mensal de consumo, torneiras com temporizador, reúso para limpeza e campanhas de uso consciente.",Sim,"Troca para LED, desligamento automático, metas de consumo e acompanhamento por unidade.",Sim,"Coleta seletiva, destinação por parceiro homologado, controle de recicláveis e treinamento interno.",Não,Não se aplica,Não,Não se aplica; empresa sem frota própria.,Sim,"Programa de diversidade com metas de contratação, acessibilidade em processos seletivos, trilhas de conscientização e comitê interno.",Sim,"Campanhas de arrecadação, mentoria para jovens da comunidade e ações presenciais trimestrais com voluntários.",Sim,"Apoio psicológico, palestras sobre saúde mental, política de escuta ativa e ações de bem-estar.",Sim,Sim,"Critérios de conformidade legal, trabalho digno, descarte correto de resíduos, emissões e ética nos negócios.",Sim,Sim,Não,Sim,"Dados totalmente fictícios, criados apenas para modelagem e desenvolvimento.",Sim
2,2/4/26 9:17:00,2/4/26 9:42:00,registro_modelo_02,Empresa Exemplo 02 S.A. - Plataforma Modelo 02,00000000000272,10 a 99 (Pequeno porte),"De R$ 1,5 milhões a R$ 3 milhões",Pessoa Exemplo 02,Gerente de Compliance,contato02@example.com,Sim,Não,Não se aplica,Sim,Não,Não se aplica,Sim,Sim,"Áreas abrangidas: operação, RH e liderança. Temas: água, energia, resíduos, ética e direitos humanos. Periodicidade: onboarding e reciclagem semestral.",Sim,"Código de conduta, canal de denúncias, due diligence de terceiros, treinamentos anuais e controles anticorrupção.",Sim,Não,Não se aplica,Sim,"Troca para LED, desligamento automático, metas de consumo e acompanhamento por unidade.",Não,Não se aplica,Não,Não se aplica,Não,Gasolina 60% | Etanol 40%,Não,Não se aplica,Não,Não se aplica,Sim,"Apoio psicológico, palestras sobre saúde mental, política de escuta ativa e ações de bem-estar.",Não,Sim,"Critérios de conformidade legal, trabalho digno, descarte correto de resíduos, emissões e ética nos negócios.",Sim,Não,Sim,Não,Exemplo de resposta final para campo aberto sem informações reais.,Sim
3,2/5/26 9:34:00,2/5/26 10:06:00,registro_modelo_03,Empresa Exemplo 03 Tecnologia Ltda. - Solução Modelo 03,00000000000353,100 a 999 (Médio porte),Acima de R$ 3 milhões,Pessoa Exemplo 03,Analista ESG,contato03@example.com,Sim,Sim,Auto de infração fictício por armazenamento temporário inadequado de resíduos; caso encerrado com plano de ação.,Sim,Sim,"ISO 14001, ISO 45001 e evidências em https://example.com/evidencias/empresa-modelo",Não,Sim,"Áreas abrangidas: operação, RH e liderança. Temas: água, energia, resíduos, ética e direitos humanos. Periodicidade: onboarding e reciclagem semestral.",Sim,"Código de conduta, canal de denúncias, due diligence de terceiros, treinamentos anuais e controles anticorrupção.",Sim,Sim,"Medição mensal de consumo, torneiras com temporizador, reúso para limpeza e campanhas de uso consciente.",Não,Não se aplica,Sim,"Coleta seletiva, destinação por parceiro homologado, controle de recicláveis e treinamento interno.",Sim,"Estimativa anual com base em consumo de energia, viagens e frota, usando metodologia inspirada no GHG Protocol.",Sim,Diesel 100%,Sim,"Programa de diversidade com metas de contratação, acessibilidade em processos seletivos, trilhas de conscientização e comitê interno.",Não,Não se aplica,Não,Não se aplica,Não,Sim,"Critérios de conformidade legal, trabalho digno, descarte correto de resíduos, emissões e ética nos negócios.",Sim,Sim,Não,Sim,Organização modelo em fase de estruturação de agenda ESG.,Sim
4,2/6/26 9:51:00,2/6/26 10:30:00,registro_modelo_04,Empresa Exemplo 04 Serviços Digitais Ltda. - Operação Modelo 04,00000000000434,1.000 ou mais (Grande porte),Prefere não informar,Pessoa Exemplo 04,CEO,contato04@example.com,Sim,Não,Não se aplica,Sim,Não,Não se aplica,Sim,Não,Não se aplica,Sim,"Código de conduta, canal de denúncias, due diligence de terceiros, treinamentos anuais e controles anticorrupção.",Não,Não,Não se aplica,Sim,"Troca para LED, desligamento automático, metas de consumo e acompanhamento por unidade.",Sim,"Coleta seletiva, destinação por parceiro homologado, controle de recicláveis e treinamento interno.",Não,Não se aplica,Não,Elétrico 70% | Híbrido 30%,Sim,"Programa de diversidade com metas de contratação, acessibilidade em processos seletivos, trilhas de conscientização e comitê interno.",Sim,"Campanhas de arrecadação, mentoria para jovens da comunidade e ações presenciais trimestrais com voluntários.",Sim,"Apoio psicológico, palestras sobre saúde mental, política de escuta ativa e ações de bem-estar.",Não,Sim,"Critérios de conformidade legal, trabalho digno, descarte correto de resíduos, emissões e ética nos negócios.",Não,Não,Não,Não,Campo livre preenchido apenas para representar texto aberto.,Sim
5,2/7/26 10:08:00,2/7/26 10:54:00,registro_modelo_05,Empresa Exemplo 05 Consultoria Ltda. - Marca Modelo 05,00000000000515,Até 9 (Microempresa),"De R$ 500 mil a R$ 1,5 milhões",Pessoa Exemplo 05,Coordenadora de RH,contato05@example.com,Sim,Não,Não se aplica,Sim,Sim,"ISO 14001, ISO 45001 e evidências em https://example.com/evidencias/empresa-modelo",Não,Sim,"Áreas abrangidas: operação, RH e liderança. Temas: água, energia, resíduos, ética e direitos humanos. Periodicidade: onboarding e reciclagem semestral.",Não,Não se aplica,Sim,Não,Não se aplica,Não,Não se aplica,Sim,"Coleta seletiva, destinação por parceiro homologado, controle de recicláveis e treinamento interno.",Sim,"Estimativa anual com base em consumo de energia, viagens e frota, usando metodologia inspirada no GHG Protocol.",Não,Não se aplica; uso eventual de frota locada.,Sim,"Programa de diversidade com metas de contratação, acessibilidade em processos seletivos, trilhas de conscientização e comitê interno.",Sim,"Campanhas de arrecadação, mentoria para jovens da comunidade e ações presenciais trimestrais com voluntários.",Sim,"Apoio psicológico, palestras sobre saúde mental, política de escuta ativa e ações de bem-estar.",Sim,Sim,"Critérios de conformidade legal, trabalho digno, descarte correto de resíduos, emissões e ética nos negócios.",Sim,Sim,Sim,Não,Sem comentários adicionais; conteúdo sintético para homologação.,Sim
6,2/8/26 10:25:00,2/8/26 10:43:00,registro_modelo_06,Empresa Exemplo 06 Logística Ltda. - Rede Modelo 06,00000000000604,10 a 99 (Pequeno porte),"De R$ 1,5 milhões a R$ 3 milhões",Pessoa Exemplo 06,Gerente de Operações,contato06@example.com,Não,Não,Não se aplica,Sim,Não,Não se aplica,Sim,Sim,"Áreas abrangidas: operação, RH e liderança. Temas: água, energia, resíduos, ética e direitos humanos. Periodicidade: onboarding e reciclagem semestral.",Sim,"Código de conduta, canal de denúncias, due diligence de terceiros, treinamentos anuais e controles anticorrupção.",Não,Sim,"Medição mensal de consumo, torneiras com temporizador, reúso para limpeza e campanhas de uso consciente.",Sim,"Troca para LED, desligamento automático, metas de consumo e acompanhamento por unidade.",Sim,"Coleta seletiva, destinação por parceiro homologado, controle de recicláveis e treinamento interno.",Não,Não se aplica,Não,Não se aplica; empresa sem frota própria.,Não,Não se aplica,Não,Não se aplica,Sim,"Apoio psicológico, palestras sobre saúde mental, política de escuta ativa e ações de bem-estar.",Não,Não,Não se aplica,Sim,Não,Não,Sim,"Dados totalmente fictícios, criados apenas para modelagem e desenvolvimento.",Sim
7,2/9/26 10:42:00,2/9/26 11:07:00,registro_modelo_07,Empresa Exemplo 07 Dados e IA Ltda. - Produto Modelo 07,00000000000787,100 a 999 (Médio porte),Acima de R$ 3 milhões,Pessoa Exemplo 07,Especialista de Compras,contato07@example.com,Sim,Não,Não se aplica,Sim,Sim,"ISO 14001, ISO 45001 e evidências em https://example.com/evidencias/empresa-modelo",Não,Sim,"Áreas abrangidas: operação, RH e liderança. Temas: água, energia, resíduos, ética e direitos humanos. Periodicidade: onboarding e reciclagem semestral.",Sim,"Código de conduta, canal de denúncias, due diligence de terceiros, treinamentos anuais e controles anticorrupção.",Sim,Sim,"Medição mensal de consumo, torneiras com temporizador, reúso para limpeza e campanhas de uso consciente.",Não,Não se aplica,Sim,"Coleta seletiva, destinação por parceiro homologado, controle de recicláveis e treinamento interno.",Sim,"Estimativa anual com base em consumo de energia, viagens e frota, usando metodologia inspirada no GHG Protocol.",Sim,Gasolina 60% | Etanol 40%,Sim,"Programa de diversidade com metas de contratação, acessibilidade em processos seletivos, trilhas de conscientização e comitê interno.",Não,Não se aplica,Sim,"Apoio psicológico, palestras sobre saúde mental, política de escuta ativa e ações de bem-estar.",Sim,Sim,"Critérios de conformidade legal, trabalho digno, descarte correto de resíduos, emissões e ética nos negócios.",Sim,Sim,Não,Não,Exemplo de resposta final para campo aberto sem informações reais.,Sim
8,2/10/26 10:59:00,2/10/26 11:31:00,registro_modelo_08,Empresa Exemplo 08 Contact Center Ltda. - Núcleo Modelo 08,00000000000868,1.000 ou mais (Grande porte),Prefere não informar,Pessoa Exemplo 08,Diretor Administrativo,contato08@example.com,Sim,Sim,Auto de infração fictício por armazenamento temporário inadequado de resíduos; caso encerrado com plano de ação.,Sim,Não,Não se aplica,Sim,Sim,"Áreas abrangidas: operação, RH e liderança. Temas: água, energia, resíduos, ética e direitos humanos. Periodicidade: onboarding e reciclagem semestral.",Sim,"Código de conduta, canal de denúncias, due diligence de terceiros, treinamentos anuais e controles anticorrupção.",Sim,Não,Não se aplica,Sim,"Troca para LED, desligamento automático, metas de consumo e acompanhamento por unidade.",Sim,"Coleta seletiva, destinação por parceiro homologado, controle de recicláveis e treinamento interno.",Não,Não se aplica,Não,Diesel 100%,Sim,"Programa de diversidade com metas de contratação, acessibilidade em processos seletivos, trilhas de conscientização e comitê interno.",Sim,"Campanhas de arrecadação, mentoria para jovens da comunidade e ações presenciais trimestrais com voluntários.",Sim,"Apoio psicológico, palestras sobre saúde mental, política de escuta ativa e ações de bem-estar.",Não,Sim,"Critérios de conformidade legal, trabalho digno, descarte correto de resíduos, emissões e ética nos negócios.",Sim,Não,Sim,Não,Organização modelo em fase de estruturação de agenda ESG.,Sim
9,2/11/26 11:16:00,2/11/26 11:55:00,registro_modelo_09,Empresa Exemplo 09 Inovação S.A. - Hub Modelo 09,00000000000949,Até 9 (Microempresa),"De R$ 500 mil a R$ 1,5 milhões",Pessoa Exemplo 09,Analista de Sustentabilidade,contato09@example.com,Sim,Não,Não se aplica,Não,Sim,"ISO 14001, ISO 45001 e evidências em https://example.com/evidencias/empresa-modelo",Não,Não,Não se aplica,Sim,"Código de conduta, canal de denúncias, due diligence de terceiros, treinamentos anuais e controles anticorrupção.",Não,Sim,"Medição mensal de consumo, torneiras com temporizador, reúso para limpeza e campanhas de uso consciente.",Não,Não se aplica,Não,Não se aplica,Não,Não se aplica,Não,Elétrico 70% | Híbrido 30%,Sim,"Programa de diversidade com metas de contratação, acessibilidade em processos seletivos, trilhas de conscientização e comitê interno.",Não,Não se aplica,Sim,"Apoio psicológico, palestras sobre saúde mental, política de escuta ativa e ações de bem-estar.",Sim,Sim,"Critérios de conformidade legal, trabalho digno, descarte correto de resíduos, emissões e ética nos negócios.",Sim,Sim,Não,Sim,Campo livre preenchido apenas para representar texto aberto.,Sim
10,2/12/26 11:33:00,2/12/26 12:19:00,registro_modelo_10,Empresa Exemplo 10 Sistemas Ltda. - Marca Modelo 10,00000000001082,10 a 99 (Pequeno porte),"De R$ 1,5 milhões a R$ 3 milhões",Pessoa Exemplo 10,Gestora de Compliance,contato10@example.com,Sim,Não,Não se aplica,Sim,Não,Não se aplica,Sim,Sim,"Áreas abrangidas: operação, RH e liderança. Temas: água, energia, resíduos, ética e direitos humanos. Periodicidade: onboarding e reciclagem semestral.",Sim,"Código de conduta, canal de denúncias, due diligence de terceiros, treinamentos anuais e controles anticorrupção.",Sim,Não,Não se aplica,Sim,"Troca para LED, desligamento automático, metas de consumo e acompanhamento por unidade.",Sim,"Coleta seletiva, destinação por parceiro homologado, controle de recicláveis e treinamento interno.",Sim,"Estimativa anual com base em consumo de energia, viagens e frota, usando metodologia inspirada no GHG Protocol.",Não,Não se aplica; uso eventual de frota locada.,Sim,"Programa de diversidade com metas de contratação, acessibilidade em processos seletivos, trilhas de conscientização e comitê interno.",Sim,"Campanhas de arrecadação, mentoria para jovens da comunidade e ações presenciais trimestrais com voluntários.",Sim,"Apoio psicológico, palestras sobre saúde mental, política de escuta ativa e ações de bem-estar.",Não,Sim,"Critérios de conformidade legal, trabalho digno, descarte correto de resíduos, emissões e ética nos negócios.",Sim,Não,Sim,Não,Sem comentários adicionais; conteúdo sintético para homologação.,Sim
